Fall18_2_Q3,unlabeled,"


Throw two fair dice. What is the probability the difference between the two numbers rolled is greater than 1?

"," 11/36
    "," 7/18
    "," 4/9
    "," 5/9
    "," 25/36
","5,"
Fall18_2_Q10,unlabeled,"


Which of the following sets are well ordered under the standard `<` ordering?
"," ℕ
"," ℤ
"," ℤ^+
"," ℝ^+ ∪{0} 
"," {0, 1 , 2}
","3,"
Fall18_2_Q11,unlabeled,"


Which of the following are true?

    
  * E(X) = 2
    
  * E(Y) = 2
    
  * E(XY) = 4
    
  * E(X+Y) = 4


A, B, D


(c) is not guaranteed since X and Y are not independent, and if you solve for it you get 11/3

"," E(X) = 2
    "," E(Y) = 2
    "," E(XY) = 4
    "," E(X+Y) = 4
",,"3,"
Winter20_2_Q2,unlabeled,"


Consider license plates with 7 characters, each of which can either be an uppercase letter or a numerical digit 0 through 9.  How many possible license plates are there that start or end with the word “CAT""?
"," 26^4+26^4-26
    "," 36^4
    "," 26^4+26^4+10
    "," 36^4+36^4-36
    "," 36^4+36^4
","4,"
Winter20_2_Q5,unlabeled,"


Pam wants to prank her mom for April Fools' Day.  When she pulls a prank on her mom, her mom will react in one of 3 different ways: she laughs, she groans, or she gets angry.  Each of these 3 reactions are equally likely.  Pam will keep pranking her mom until she gets at least one laugh and at least one groan.  How many pranks should Pam expect to have to pull?
"," 1.5
    "," 3
    "," 4.5
    "," 5.5
    "," 6
","3,"
Winter20_2_Q6,unlabeled,"


24 IAs sit in a circle for board game night. Grace wants to sit next to Yunsoo and directly across from Eric. 

If they sit down randomly, what is the probability that this happens?
"," 21!/24!
    "," 24 · 21!/24! 
    "," 24 · 2 · 21!/24! 
    "," 2 · 21!/24! 
    "," 24 · 2/24! 
","3,"
Winter20_2_Q8,unlabeled,"


Michigan's basketball team is predicted to win 60% of the games they play. When the team is predicted to win, they have a 70% probability of actual winning. When they are predicted to lose, they have a 45% probability of winning. Given that Michigan won a basketball game, what is the probability that they were predicted to win?
"," 0.6
"," 0.6·0.7
"," 0.7/0.45+0.7
"," 0.6·0.7/0.6·0.7+0.6·(1-0.45)
"," 0.6·0.7/0.6·0.7+(1-0.6)·0.45
","5,"
Winter20_2_Q9,unlabeled,"



You would like to cross the river depicted below.  Sometimes, though, the bridges are broken.  Each bridge has probability p that you can cross it.  What is the probability that you are able to get across the river.


    < g r a p h i c s >





"," 4p^2
"," 2p^2 + 2p^3
"," 4p-6p^2+6p^3-p^4
"," (2p-p^2)^2
"," (2p^2 - 3p)^2
","4,"
Winter20_2_Q11,unlabeled,"



Balls labeled 1 through 9 are placed in a knapsack. Two balls are selected from the knapsack, one at a time without replacement. The first ball we draw is even.  What is the probability that the second ball is greater than the first ball?
"," 1/9
"," 3/8
"," 4/9
"," 1/2
"," 5/8
","4,"
Winter20_2_Q13,unlabeled,"


Emily pays $1 to play a dice game.  She rolls a fair 6-sided die.

    
  * If she rolls a 1 or a 2 she loses another $2
    
  * If she rolls a 3 or 4 she wins $4
    
  * If she rolls a 5 or a 6 she wins $7

Let X be a random variable for the amount of money Emily gained or lost due to playing the game. (Remember that she spent $1 to play the game.) 


What is E(X)? What is Var(X)?

"," E(X) = 2
    "," E(X) = 3
    "," E(X) = 13/3
    "," Var(X) = 14
    "," Var(X) = 38/9
","1,"
Winter20_2_Q14,unlabeled,"


Which of the following sets are well-ordered under the given ordering?
"," (ℝ^+, <)
    "," (ℤ∩ℚ^-, >)
    "," ([-2, 7], <)
    "," (ℕ, >)
    "," ({-1/n|n∈ℤ^+}∪{1-1/n|n∈ℤ^+},<)
","2,5,"
Spring19_F_Q2,unlabeled,"

What is the remainder when 2^38·3^19·5^2 is divided by 19?
"," 9
"," 11
"," 12
"," 15
"," 17
","4,"
Spring19_F_Q5,unlabeled,"

Let S be a set such that |S|=10. How many relations over S are antisymmetric and reflexive?

"," 2^45
"," 3^45
"," 2^90
"," 2^10
"," 2^45-10· 2^44
","2,"
Spring19_F_Q7,unlabeled,"

Yunsoo and Reuben each have a box containing balls numbered 1 to 30. Yunsoo randomly selects a ball from his box and puts it into Reuben's box. After Yunsoo has placed his ball into Reuben's box, Reuben randomly selects a ball and puts it into Yunsoo's box. What is the probability that Yunsoo and Reuben each end up having balls numbered 1 to 30?

"," 2/30
"," 1/30· 31
"," 1/31
"," 1/30
"," 2/31
","5,"
Spring19_F_Q8,unlabeled,"

A certain divide and conquer algorithm divides a problem of size n into 9 non-overlapping subproblems, each of equal size. The algorithm must then solve one third of the 9 subproblems and do 2n+5 work to join the results of the subproblems before the problem of size n has been solved. What is the runtime of this algorithm?


    
  * Θ(√(n))
    
  * Θ(n)
    
  * Θ(n^2)
    
  * Θ(nlog_9 n)
    
  * Θ(n^n)



(b)

T(n) = 3T(n/9) + 2n + 5. Note that 2n + 5 is Θ(n). Then by applying Master Theorem, we see a/b^d = 3/9^1 < 1. Therefore, the algorithm is O(n^1) = O(n).



"," Θ(√(n))
    "," Θ(n)
    "," Θ(n^2)
    "," Θ(nlog_9 n)
    "," Θ(n^n)
","2,"
Winter19_F_Q4,unlabeled,"

What is the remainder when 9^102 is divided by 11?

"," 2
    "," 4
    "," 6
    "," 8
    "," 10
","2,"
